открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107190;107260;107190;107260;114950;114960;114900;114950;109280;109290;109180;109260;111540;111630;111530;111620
107280;107280;107190;107200;114960;115040;114940;115000;109260;109260;109150;109200;111630;111630;111540;111610
107210;107210;107100;107190;115000;115110;114970;115040;109190;109240;109130;109230;111610;111610;111530;111570
107180;107180;107100;107130;115030;115080;114970;115070;109220;109230;109060;109080;111570;111570;111510;111550
107160;107160;107130;107130;115070;115100;115010;115020;109060;109130;109020;109030;111560;111560;111460;111460
107090;107090;107000;107000;115020;115100;115020;115070;109030;109130;109000;109060;111470;111500;111430;111440
106990;107050;106960;107050;115070;115260;115070;115080;109060;109130;109030;109070;111450;111490;111340;111480
107080;107110;107080;107100;115070;115110;115040;115050;109080;109090;109030;109090;111490;111540;111480;111520
107070;107070;106990;107010;115060;115060;114990;115000;109070;109120;109050;109090;111540;111540;111400;111440
107000;107020;106990;107000;115010;115030;114880;114900;109090;109110;109010;109020;111440;111440;111350;111400
106980;106980;106910;106940;114920;114950;114900;114920;109030;109040;108970;109030;111400;111480;111380;111450
106980;107030;106980;107010;114910;114970;114900;114970;109020;109030;108830;108840;111460;111480;111340;111340
106990;106990;106930;106930;114960;115080;114940;115020;108850;108870;108680;108700;111350;111350;111220;111230
106940;106940;106930;106940;115030;115080;115010;115020;108700;108730;108620;108680;111230;111300;111190;111290
106960;107000;106960;107000;115040;115040;114910;114930;108680;108750;108630;108650;111280;111350;111280;111350
107030;107050;107000;107000;114930;114930;114830;114860;108650;108750;108640;108750;111340;111440;111320;111400
106970;107000;106970;107000;114860;114900;114820;114870;108750;108760;108660;108700;111410;111430;111330;111350
106950;106990;106940;106960;114860;114940;114850;114850;108700;108730;108650;108720;111360;111370;111310;111370
